"site","year","day","tasmin","tasmax","tasmean"
"SPW","2013","May_23",4.3274172335074,10.6570376334058,7.49222743345659
"SPW","2013","May_24",4.02347494315545,9.85060915822878,6.93704205069211
"SPW","2013","May_25",4.07549360144701,14.8073929879332,9.44144329469013
"SPW","2013","May_26",3.41340292294892,18.6335326413713,11.0234677821601
"SPW","2013","May_27",3.54314951065976,17.3484701680758,10.4458098393678
"SPW","2013","May_28",8.46266979744261,12.5355137698127,10.4990917836277
"SPW","2013","May_29",7.54052003547363,12.0427126030212,9.79161631924742
"SPW","2013","May_30",9.03323817700567,13.519726731082,11.2764824540438
"SPW","2013","May_31",9.87509925068352,20.4701256982203,15.1726124744519
"SPW","2013","June_01",9.05491827960848,16.717296403481,12.8861073415447
"SPW","2013","June_02",6.43764732582999,17.3711220606112,11.9043846932206
"SPW","2013","June_03",4.24798804541543,18.0212812486525,11.134634647034
"SPW","2013","June_04",4.8460307909973,18.9685001614665,11.9072654762319
"SPW","2013","June_05",7.61074008731613,18.2900805585834,12.9504103229498
"SPW","2013","June_06",6.68018588434338,20.2161722553171,13.4481790698302
"SPW","2013","June_07",7.00275978194814,20.1621319061374,13.5824458440428
"SPW","2013","June_08",7.35868157359742,15.83244839748,11.5955649855387
"SPW","2013","June_09",9.10912160022197,15.089760896793,12.0994412485075
"SPW","2013","June_10",8.1870150443197,14.3758602565475,11.2814376504336
"SPW","2013","June_11",6.08468602620109,17.8290542545551,11.9568701403781
"SPW","2013","June_12",12.6606147866659,17.896431570501,15.2785231785834
"SPW","2013","June_13",12.4570743819393,17.4519689545286,14.9545216682339
"SPW","2013","June_14",6.95995615981093,18.6144392922596,12.7871977260353
"SPW","2013","June_15",9.72027023005283,16.6269995262551,13.173634878154
"SPW","2013","June_16",9.81239939807555,17.254267545418,13.5333334717468
"SPW","2013","June_17",9.77501031618501,19.2826640128196,14.5288371645023
"SPW","2013","June_18",10.7382361227676,20.8311058173841,15.7846709700759
"SPW","2013","June_19",13.5526609427499,24.8479854927955,19.2003232177727
"SPW","2013","June_20",14.4793613436117,20.397984697,17.4386730203058
"SPW","2013","June_21",12.1416688217893,20.8558925920157,16.4987807069025
"SPW","2013","June_22",10.8036661711155,17.4132790960254,14.1084726335704
"SPW","2013","June_23",11.8435210595659,17.4355459537597,14.6395335066628
"SPW","2013","June_24",9.66593103512557,16.4871509136905,13.0765409744081
"SPW","2013","June_25",6.06003773554174,19.407970769799,12.7340042526704
"SPW","2013","June_26",7.00767407128183,20.8837954525315,13.9457347619067
"SPW","2013","June_27",9.05693736018734,18.5554001695058,13.8061687648466
"SPW","2013","June_28",11.4174476883687,19.7326377243143,15.5750427063415
"SPW","2013","June_29",11.0890763981377,20.4874072385375,15.7882418183376
"SPW","2013","June_30",12.263315985265,24.8794171385581,18.5713665619116
"SPW","2014","April_01",5.27955104116591,17.6114303308765,11.4454906860212
