site,year,peak_cater_fit,peak_cater_lwr,peak_cater_upr,height_cater_fit,height_cater_lwr,height_cater_upr,box,species,cltsize,fledged,dfe,outcome,avg_cltsize,cltsize_final,mismatch_cater,height_cater_log,mean_tasmin_April,mean_tasmin_May,mean_tasmin_June,mean_tasmax_April,mean_tasmax_May,mean_tasmax_June,tasmean_April,tasmean_May,tasmean_June,tasmean_AprMay,mean_tasmin_AprMay,mean_tasmax_AprMay
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,21C,BLUTI,9,8,10,NE,9.391304348,9,1.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,24C,BLUTI,9,4,15,NE,9.391304348,9,6.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,1D,GRETI,7,7,16,NE,7.625,7,5.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,3D,BLUTI,10,0,18,JD,9.391304348,10,10.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,5D,GRETI,9,9,14,NE,7.625,9,5.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,6D,BLUTI,11,8,23,NE,9.391304348,11,16.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,8D,BLUTI,7,7,8,NE,9.391304348,7,-2.027243123,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,12D,BLUTI,13,5,13,NE,9.391304348,13,8.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,14D,BLUTI,7,7,41,NE,9.391304348,7,30.97275688,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,16D,GRETI,7,7,7,NE,7.625,7,-3.027243123,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,17D,BLUTI,10,9,10,NE,9.391304348,10,2.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2014,41.02724312,38.83361733,43.14827615,965.8004672,567.6654169,1749.112967,19D,GRETI,8,8,15,NE,7.625,8,5.972756877,6.872957257,5.839421748,8.092447545,10.42889815,15.4534059,17.10650006,20.72993366,10.64641382,12.5994738,15.57941591,11.62294381,6.965934647,16.27995298
SPW,2015,50.15311103,47.8508384,52.27317204,467.7547885,267.1123714,810.3042618,1A,GRETI,5,3,24,NE,5.818181818,5,2.846888973,6.147944202,3.97816489,6.868915717,9.257890712,14.88525728,16.24806432,20.39647563,9.431711084,11.55849002,14.82718317,10.49510055,5.423540304,15.5666608
SPW,2015,50.15311103,47.8508384,52.27317204,467.7547885,267.1123714,810.3042618,4A,BLUTI,6,5,23,NE,7.857142857,6,2.846888973,6.147944202,3.97816489,6.868915717,9.257890712,14.88525728,16.24806432,20.39647563,9.431711084,11.55849002,14.82718317,10.49510055,5.423540304,15.5666608
SPW,2015,50.15311103,47.8508384,52.27317204,467.7547885,267.1123714,810.3042618,7A,BLUTI,6,5,28,NE,7.857142857,6,7.846888973,6.147944202,3.97816489,6.868915717,9.257890712,14.88525728,16.24806432,20.39647563,9.431711084,11.55849002,14.82718317,10.49510055,5.423540304,15.5666608
